Group,English,Japanese
Body parts,upper body,上体
Body parts,hip joint,股関節
Body parts,knee,膝
Body parts,heel,踵
Equipments,helmet,ヘルメット
Equipments,ski poles,スキーストック (ポール)
Equipments,ski boots,スキーブーツ
Equipments,flex,フレックス
Equipments,side curve,サイドカーブ
Equipments,side edges,サイドエッジ
Turns and skiing operations,long turn,大回り
Turns and skiing operations,short turn,小回り
Turns and skiing operations,fall line,フォールライン
Turns and skiing operations,outside ski,外スキー
Turns and skiing operations,inside ski,内スキー
Turns and skiing operations,leaning forward,前傾
Turns and skiing operations,leaning backward,後傾
Turns and skiing operations,inward leaning,内傾
Turns and skiing operations,hip bend,外傾
Turns and skiing operations,upper body rotation,上体のローテーション
Turns and skiing operations,stance,スタンス
Slopes,steep slopes,急斜面
Slopes,gentle slopes,緩斜面
Slopes,groomed slopes,圧雪斜面
Slopes,bump slopes,コブ斜面
